repeat,accuracy,balanced_accuracy,precision,recall,f1,n_train,n_test
586,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
587,0.5,0.5,0.0,0.0,0.0,20,4
588,1.0,1.0,1.0,1.0,1.0,20,4
589,1.0,1.0,1.0,1.0,1.0,20,4
590,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
591,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
592,0.5,0.5,0.5,0.5,0.5,20,4
593,0.5,0.5,0.5,0.5,0.5,20,4
594,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
595,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
596,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
597,1.0,1.0,1.0,1.0,1.0,20,4
598,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
599,1.0,1.0,1.0,1.0,1.0,20,4
600,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
601,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
602,1.0,1.0,1.0,1.0,1.0,20,4
603,1.0,1.0,1.0,1.0,1.0,20,4
604,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
605,1.0,1.0,1.0,1.0,1.0,20,4
606,1.0,1.0,1.0,1.0,1.0,20,4
607,1.0,1.0,1.0,1.0,1.0,20,4
608,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
609,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
610,1.0,1.0,1.0,1.0,1.0,20,4
611,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
612,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
613,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
614,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
615,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
616,1.0,1.0,1.0,1.0,1.0,20,4
617,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
618,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
619,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
620,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
621,1.0,1.0,1.0,1.0,1.0,20,4
622,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
623,1.0,1.0,1.0,1.0,1.0,20,4
624,1.0,1.0,1.0,1.0,1.0,20,4
625,1.0,1.0,1.0,1.0,1.0,20,4
626,0.5,0.5,0.5,0.5,0.5,20,4
627,1.0,1.0,1.0,1.0,1.0,20,4
628,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
629,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
630,0.5,0.5,0.0,0.0,0.0,20,4
631,1.0,1.0,1.0,1.0,1.0,20,4
632,1.0,1.0,1.0,1.0,1.0,20,4
633,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
634,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
635,1.0,1.0,1.0,1.0,1.0,20,4
636,1.0,1.0,1.0,1.0,1.0,20,4
637,1.0,1.0,1.0,1.0,1.0,20,4
638,0.5,0.5,0.0,0.0,0.0,20,4
639,1.0,1.0,1.0,1.0,1.0,20,4
640,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
641,0.5,0.5,0.5,1.0,0.6666666666666666,20,4
642,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
643,1.0,1.0,1.0,1.0,1.0,20,4
644,1.0,1.0,1.0,1.0,1.0,20,4
645,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
646,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
647,1.0,1.0,1.0,1.0,1.0,20,4
648,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
649,1.0,1.0,1.0,1.0,1.0,20,4
650,0.5,0.5,0.0,0.0,0.0,20,4
651,1.0,1.0,1.0,1.0,1.0,20,4
652,0.5,0.5,0.0,0.0,0.0,20,4
653,1.0,1.0,1.0,1.0,1.0,20,4
